motion_id,sha256,frames,fps,duration_s,raw_step_rad,raw_speed_rad_s,raw_acceleration_rad_s2,raw_jerk_rad_s3,raw_acceleration_p99_rad_s2,raw_position_excess_rad,raw_speed_violating_intervals,export_speed_clamp_fraction,fast_reversal_samples,fast_reversal_frames,gmr_limited_joints,gmr_limited_joint_limits,gmr_limited_collision_frames_adjusted,v2_speed_rad_s,v2_acceleration_rad_s2,v2_jerk_rad_s3,v2_speed_bad_segments,v2_acceleration_bad_segments,worst_acceleration_joint,worst_acceleration_time_s,v2_position_excess_rad,v2_jerk_jump_rad_s3,root_speed_m_s,root_acceleration_m_s2,root_jerk_m_s3,root_angular_speed_rad_s,root_angular_acceleration_rad_s2,root_speed_violation,root_angular_speed_violation
gPO_sBM_cAll_d11_mPO1_ch09,eca1d992be98b65a724aa2bbd506ea089448810d864b6ee345ed131572e442cf,640,60.0,10.65,0.15569494953620344,9.341696972172207,160.29579040492408,5702.974509658988,83.61102569165529,0.0,0,0.0,0,0,248,1,0,9.351797050035145,181.98313387728322,13044.27347220103,0,0,right_knee,0.0,0.0,3345.847650068789,1.2621939175505577,95.55801391118027,7890.48834006641,8.671544507535046,766.2337014505022,False,False
gPO_sBM_cAll_d11_mPO1_ch10,0ec28f36417e7411a36f1f56e096d16993eee03b2e4754d78fffd990be121103,640,60.0,10.65,0.1558175501565332,9.349053009391993,174.9822823154423,5629.792357840087,108.57134594826374,0.0,0,0.0,0,0,520,18,0,9.352593761722956,187.31213826665385,8716.63571848885,0,0,left_shoulder_roll,0.0,0.0,6071.86564482123,1.053607089945372,20.78621596713888,2001.0600445289417,4.911332361448095,386.7305507541593,False,False
gPO_sBM_cAll_d11_mPO4_ch01,72537c317cd1080f0dfefe568397b99010b0e1d4a1b237b3f275d6866967feb3,480,60.0,7.983333333333333,0.1512825086474105,9.07695051884463,130.55986604918198,4416.369412485998,42.02311460005726,0.0,0,0.0,0,0,29,0,0,9.120156671748157,186.85987063817626,7956.847417766982,0,0,waist_roll,0.0,0.0,1446.8896605405098,0.557271786352116,25.11993950809339,2962.1978401623705,4.605439985102036,340.7666435742648,False,False
gPO_sBM_cAll_d11_mPO4_ch02,7b37fbb0177c4094591c0d0901f84ce064ec8d0fc964cc0511c47e5faa2d13f5,480,60.0,7.983333333333333,0.12179934298419437,7.307960579051662,116.17753392334605,4550.65969479432,58.51071887392543,0.0,0,0.0,0,0,19,0,0,7.368634825713245,164.16517575329675,8768.441934686876,0,0,right_elbow,0.0,0.0,1943.8115396600895,0.667117702652002,60.027888054402695,6548.952646305147,4.120092533059311,246.7888594468153,False,False
gPO_sBM_cAll_d11_mPO5_ch01,488fe29974a32a080dc739c9e2f961a3235d7fa807fcfed8c76727e878ca0e05,443,60.0,7.366666666666666,0.15301568360362094,9.180941016217258,154.425177279448,4481.452969943891,68.27778822375775,0.0,0,0.0,0,0,60,0,0,9.20442796103959,186.33468682956956,10193.910784142643,0,0,left_shoulder_pitch,0.0,0.0,1666.2517462046271,0.6060764508306347,24.255981042576874,2823.677217617911,4.830701489021361,255.09643823456517,False,False
gPO_sBM_cAll_d11_mPO5_ch02,f02bce2c1112ea4336f3437e52202b26489130009eff944b0f7272adea18d588,443,60.0,7.366666666666666,0.153180632749931,9.19083796499586,151.3589437775013,4216.4883767595275,79.98196737597675,0.0,0,0.0,0,0,82,0,0,9.224025714260563,153.75394959840378,6360.328731655138,0,0,right_knee,3.4338564605229314,0.0,1610.822525404913,0.6955071626310844,67.03025408040371,7139.96971430734,4.924332980315033,378.99427951354664,False,False
gPO_sBM_cAll_d12_mPO2_ch01,cfdfeb0b53a020a76f7741587a08aa954980625322769eaf8d3f8374e5ec23b6,576,60.0,9.583333333333334,0.15338198083786292,9.202918850271775,166.33475898575202,4242.460247605931,63.31558746852239,0.0,0,0.0,0,0,97,0,0,9.285135202680507,199.8645868874547,10337.553143468285,0,0,left_shoulder_pitch,0.0,0.0,2538.892293273212,0.711658881679188,26.522694019639545,2052.137588015364,5.621271530517926,278.80541091827024,False,False
gPO_sBM_cAll_d12_mPO2_ch02,3093c6bbda67ffaf4fa69f0e56a9876f79c80fc3756267b9b7a507364360401d,576,60.0,9.583333333333334,0.1539996004008013,9.239976024048078,166.8287369294285,4654.0848088379025,100.20657421721872,0.0,0,0.0,0,0,385,0,0,9.267022616903411,217.19879508798573,8337.39882423753,0,0,left_knee,0.0,0.0,2928.823394424484,1.0998650455506032,81.38804997684124,8905.730751909261,8.337199449222638,816.9908496802996,False,False
gPO_sBM_cAll_d12_mPO3_ch01,89e93abcd358732f31d178d1e89b95231b49f998972b5b7e33813dd9298475b1,524,60.0,8.716666666666667,0.15548507322735827,9.329104393641497,177.02001266905484,6292.907001265246,84.15508328654282,0.0,0,0.0,0,0,295,0,0,9.339715526338793,225.84600477693246,13281.152445181944,0,0,left_shoulder_pitch,0.0,0.0,4827.163575693849,0.7116854535545973,20.235296313478795,1804.039431499121,5.638052584038744,288.4156349861876,False,False
gPO_sBM_cAll_d12_mPO3_ch02,5cba63e38fecb0fe54af3c13e20400b13f1fc38c5084a8fa09166365859c6d29,524,60.0,8.716666666666667,0.15585215844513833,9.3511295067083,180.98038149763448,4970.566362729264,127.05749650451281,0.0,0,0.0,0,0,889,0,2,9.357938743078662,213.28254882683936,6555.816604447427,0,0,left_wrist_roll,0.0,0.0,4953.853290655899,1.010841708419406,75.7817909709079,8282.6709192696,9.11561477456586,799.5068883447932,False,False
